bar,beat,note,chord
131,3,37,Db7
131,4,37,Db7
132,1,37,Db7
132,2,37,Db7
132,3,42,Db7
132,4,42,Db7
133,1,37,Ab6
133,2,37,Ab6
133,3,50,Ab6
133,4,50,Ab6
134,1,50,F-7
134,2,49,F-7
134,3,50,F-7
134,4,37,F-7
135,1,50,Bb-7
135,2,51,Bb-7
135,3,50,Bb-7
135,4,48,Bb-7
136,1,47,Eb7
136,2,47,Eb7
136,3,41,Eb7
136,4,41,Eb7
137,1,51,Ab6
137,2,37,Ab6
137,3,37,Ab6
137,4,49,Ab6
138,1,48,Ab6
138,2,47,Ab6
138,3,47,Ab6
138,4,45,Ab6
139,1,44,Db7
139,2,48,Db7
139,3,49,Db7
139,4,50,Db7
140,1,50,Db7
140,2,37,Db7
140,3,50,Db7
140,4,42,Db7
141,1,42,C-7
141,2,50,C-7
141,3,50,F-7
141,4,50,F-7
142,1,50,Bb-7
142,2,50,Bb-7
142,3,37,Eb7
142,4,50,Eb7
143,1,50,Ab6
143,2,48,Ab6
143,3,49,Ab6
143,4,45,Ab6
144,1,42,Ab6
144,2,51,Ab6
144,3,50,Ab6
144,4,50,Ab6
145,1,50,G-7
145,2,50,G-7
145,3,47,G-7
145,4,50,G-7
146,1,50,C7
146,2,50,C7
146,3,50,C7
146,4,37,C7
147,1,37,F-7
147,2,43,F-7
147,3,50,F-7
147,4,50,F-7
148,1,50,F-7
148,2,50,F-7
148,3,50,F-7
148,4,50,F-7
149,1,50,Cm7b5
149,2,50,Cm7b5
149,3,50,Cm7b5
149,4,50,Cm7b5
150,1,38,F7alt
150,2,39,F7alt
150,3,50,F7alt
150,4,50,F7alt
151,1,50,Bb-7
151,2,50,Bb-7
151,3,50,Bb-7
151,4,42,Bb-7
152,1,37,Eb7
152,2,50,Eb7
152,3,50,Eb7
152,4,47,Eb7
153,1,47,Ab6
153,2,50,Ab6
153,3,50,Ab6
153,4,52,Ab6
154,1,42,Ab6
154,2,50,Ab6
154,3,50,Ab6
154,4,43,Ab6
155,1,50,Db7
155,2,50,Db7
155,3,50,Db7
155,4,50,Db7
156,1,42,Db7
156,2,45,Db7
156,3,47,Db7
156,4,50,Db7
157,1,44,C-7
157,2,45,C-7
157,3,47,F-7
157,4,42,F-7
158,1,48,Bb-7
158,2,41,Bb-7
158,3,42,Eb7
158,4,40,Eb7
159,1,42,Ab6
159,2,43,Ab6
159,3,44,Ab6
159,4,45,Ab6
160,1,47,Bb-7
160,2,47,Bb-7
160,3,48,Eb7
160,4,50,Eb7
161,1,50,Ab6
161,2,43,Ab6
161,3,44,Ab6
161,4,42,Ab6
162,1,42,Ab6
162,2,50,Ab6
162,3,50,Ab6
162,4,50,Ab6
163,1,44,Db7
163,2,37,Db7
163,3,49,Db7
163,4,50,Db7
164,1,51,Db7
164,2,37,Db7
164,3,42,Db7
164,4,42,Db7
165,1,38,Ab6
165,2,37,Ab6
165,3,50,Ab6
165,4,50,Ab6
166,1,50,F-7
166,2,49,F-7
166,3,50,F-7
166,4,37,F-7
167,1,50,Bb-7
167,2,51,Bb-7
167,3,50,Bb-7
167,4,48,Bb-7
168,1,42,Eb7
168,2,42,Eb7
168,3,41,Eb7
168,4,41,Eb7
169,1,42,Ab6
169,2,43,Ab6
169,3,44,Ab6
169,4,45,Ab6
170,1,47,Ab6
170,2,50,Ab6
170,3,50,Ab6
170,4,50,Ab6
171,1,44,Db7
171,2,50,Db7
171,3,50,Db7
171,4,51,Db7
172,1,51,Db7
172,2,50,Db7
172,3,44,Db7
172,4,45,Db7
173,1,42,C-7
173,2,42,C-7
173,3,50,F-7
173,4,48,F-7
174,1,42,Bb-7
174,2,42,Bb-7
174,3,42,Eb7
174,4,42,Eb7
175,1,42,Ab6
175,2,50,Ab6
175,3,50,Ab6
175,4,42,Ab6
176,1,50,Ab6
176,2,37,Ab6
176,3,50,Ab6
176,4,50,Ab6
177,1,50,G-7
177,2,50,G-7
177,3,50,G-7
177,4,50,G-7
178,1,50,C7
178,2,44,C7
178,3,50,C7
178,4,50,C7
179,1,37,F-7
179,2,37,F-7
179,3,50,F-7
179,4,50,F-7
180,1,50,F-7
180,2,50,F-7
180,3,50,F-7
180,4,50,F-7
181,1,50,Cm7b5
181,2,42,Cm7b5
181,3,42,Cm7b5
181,4,50,Cm7b5
182,1,49,F7alt
182,2,50,F7alt
182,3,50,F7alt
182,4,48,F7alt
183,1,49,Bb-7
183,2,51,Bb-7
183,3,48,Bb-7
183,4,42,Bb-7
184,1,42,Eb7
184,2,42,Eb7
184,3,50,Eb7
184,4,50,Eb7
185,1,51,Ab6
185,2,51,Ab6
185,3,51,Ab6
185,4,51,Ab6
186,1,50,Ab6
186,2,50,Ab6
186,3,50,Ab6
186,4,50,Ab6
187,1,50,Db7
187,2,50,Db7
187,3,50,Db7
187,4,50,Db7
188,1,50,Db7
188,2,50,Db7
188,3,45,Db7
188,4,45,Db7
189,1,42,C-7
189,2,42,C-7
189,3,50,F-7
189,4,48,F-7
190,1,41,Bb-7
190,2,41,Bb-7
190,3,47,Eb7
190,4,50,Eb7
191,1,50,Ab6
191,2,43,Ab6
191,3,44,Ab6
191,4,45,Ab6
192,1,47,Ab6
192,2,47,Ab6
192,3,48,Ab6
192,4,50,Ab6
193,1,51,Ab6
193,2,47,Ab6
193,3,48,Ab6
193,4,50,Ab6
194,1,51,Ab6
194,2,51,Ab6
194,3,50,Ab6
194,4,50,Ab6
